Id_aluno,Selecionado,Sexo,OrientacaoSexual,Idade,Raça-cor,Deficiência
6540,Sim,F,Bissexual,25,Amarela,Não possuo
16980,Sim,M,Heterossexual,24,Não informada,Não possuo
7135,Não,F,Prefiro não responder,22,Branca,Não possuo
687,Não,M,Homossexual,20,Preta,Não possuo
4387,Sim,F,Heterossexual,21,Branca,Não possuo
8665,Sim,M,Heterossexual,29,Branca,Não possuo
8236,Sim,F,Bissexual,18,Branca,Não possuo
6870,Sim,M,Pansexual,20,Parda,Deficiência Visual
5153,Sim,M,Bissexual,44,Preta,Outro
8076,Sim,M,Heterossexual,19,Branca,Não possuo
6085,Sim,M,Bissexual,23,Preta,Não possuo
10048,Sim,F,Heterossexual,19,Branca,Não possuo
3696,Não,M,Bissexual,23,Não informada,Deficiência Mental/Intelectual
8554,Sim,M,Prefiro não responder,22,Branca,Não possuo
2359,Sim,M,Heterossexual,25,Parda,Não possuo
4784,Sim,F,Heterossexual,22,Parda,Não possuo
2367,Não,F,Heterossexual,26,Branca,Não possuo
16222,Sim,F,Bissexual,21,Branca,Não possuo
1602,Sim,M,Homossexual,24,Branca,Não possuo
10771,Sim,M,Heterossexual,19,Branca,Não possuo
4245,Sim,F,Bissexual,23,Branca,Não possuo
9038,Não,M,Bissexual,20,Parda,Não possuo
12626,Sim,M,Heterossexual,18,Preta,Não possuo
10435,Não,M,Heterossexual,19,Branca,Não possuo
2489,Não,F,Heterossexual,21,Amarela,Não possuo
5275,Sim,M,Homossexual,21,Branca,Não possuo
1667,Sim,F,Heterossexual,27,Não informada,Não possuo
13176,Sim,M,Heterossexual,21,Branca,Não possuo
1248,Sim,M,Homossexual,26,Preta,Não possuo
12173,Sim,F,Heterossexual,20,Preta,Não possuo
5615,Sim,F,Heterossexual,22,Não informada,Não possuo
8001,Não,M,Heterossexual,20,Branca,Não possuo
9546,Sim,F,Heterossexual,18,Parda,Não possuo
1701,Não,F,Heterossexual,22,Parda,Não possuo
6012,Sim,F,Heterossexual,22,Branca,Não possuo
7366,Sim,M,Heterossexual,20,Não informada,Não possuo
5379,Não,F,Heterossexual,23,Preta,Não possuo
10614,Sim,F,Bissexual,19,Branca,Não possuo
11232,Sim,F,Pansexual,21,Branca,Não possuo
3465,Sim,M,Prefiro não responder,25,Parda,Não possuo
9399,Não,M,Heterossexual,22,Branca,Não possuo
8083,Sim,M,Heterossexual,23,Parda,Não possuo
7508,Sim,F,Bissexual,20,Branca,Não possuo
8842,Sim,F,Pansexual,23,Preta,Não possuo
4413,Não,M,Homossexual,21,Branca,Não possuo
1054,Não,F,Prefiro não responder,23,Parda,Não possuo
9324,Sim,F,Heterossexual,22,Branca,Não possuo
241,Não,F,Bissexual,30,Preta,Não possuo
1576,Sim,F,Heterossexual,23,Branca,Não possuo
